Category,Edit Type,Edit Number,Edit Description,User Friendly Language,Affected Data Fields
LAR,Quality,Q068,"If action taken type = 1-5, 7 or 8, and applicant ethnicity, race and sex = 4,7,4 respectively, and co-applicant ethnicity, race and sex = 4,7,4, respectively, and there is no co-applicant, then co-applicant ethnicity, race, and sex should = 5,8,5, respectively.","The loan is reported as not purchased by your institution (action taken type = 1-5, 7 or 8), with no applicant (applicant ethnicity = 4, applicant race = 7, applicant sex = 4), and co-applicant as not applicable (co-applicant ethnicity = 4, co-applicant race = 7, co-applicant sex = 4). If there is no co-applicant on the loan, the co-applicant data fields should instead indicate that there is no co-applicant (co-applicant ethnicity = 5, co-applicant race = 8, co-applicant sex = 5). Please verify and update your file if needed. ",Type of Action Taken; Applicant Ethnicity; Applicant Race: 1; Applicant Sex; Co-applicant Ethnicity; Co-applicant Race: 1; Co-applicant Sex 
LAR,Quality,Q014,"If income is numeric, then income should be < $3 million.","If income is reported with a number, the amount should be less than $3 million. Please verify and update your file if needed.",Applicant Income
LAR,Quality,Q024,"If action taken type = 1, and income and loan amount are numeric, and loan amount is > 5 times income, then income should be > $ 9 thousand.","If the loan is originated (action taken type = 1) and the reported loan amount is greater than or equal to 5 times the reported income, then income should be greater than $9 thousand. Please verify and update the file if needed.",Type of Action Taken; Applicant Income; Loan Amount
LAR,Quality,Q027,"If action taken type = 1-5, 7 or 8, and property type = 1 or 2, then applicant income should not = NA.","If the loan is not purchased by your institution (action taken type = 1-5, 7, or 8) and the property is classified as one to four-family or manufactured housing (property type = 1 or 2), then income should not be reported as ""NA"". Please verify and update the file if needed.",Type of Action Taken; Property Type; Applicant Income
LAR,Quality,Q067,"If action taken type = 1-5, 7 or 8, and applicant ethnicity, race and sex = 4, 7, and 4, respectively, and co-applicant ethnicity, race and sex = 4, 7, and 4, respectively, then applicant income should = NA.","If the loan is not purchased by your institution (action taken type = 1-5, 7, or 8) and the applicant ethnicity, race, and sex are reported as NA (applicant ethnicity = 4, applicant race = 7, applicant sex = 7) and the co-applicant ethnicity, race, and sex are reported as NA (co-applicant ethnicity = 4, co-applicant race =7, co-applicant sex = 4), then the income should be reported as ""NA"". Please verify and update the file if needed.",Type of Action Taken; Applicant Ethnicity; Applicant Race: 1; Applicant Sex; Co-applicant Ethnicity; Co-applicant Race: 1; Co-applicant Sex; Applicant Income
LAR,Quality,Q039,"If HOEPA status = 1 and action taken type = 1, then rate spread should not = NA.","If the loan was originated (action taken type = 1) and classified as a HOEPA loan (HOEPA status = 1), then the reported rate spread should not be reported as ""NA"". Please verify and update the file if needed.",HOEPA Status; Type of Action Taken; Rate Spread
LAR,Quality,Q040,"If purchaser type = 1-4 and lien status = 1 or 2, then rate spread should be ≤ 10% or NA.","If a loan was purchased by Fannie Mae, Ginnie Mae, Freddie Mac, or Farmer Mac (purchase type = 1-4) and is secured by a first or subordinate lien (lien status = 1 or 2), then rate spread should be less than or equal to 10% or reported as ""NA"". Please verify and update the file if needed.",Type of Purchaser; Lien Status; Rate Spread
LAR,Quality,Q066,"If rate spread does not = NA, then rate spread should be < 13%.",The reported rate spread should be less than 13%. Please verify and update the file if needed.,Rate Spread
LAR,Quality,Q044,"If action taken type = 1, lien status = 1, and rate spread > 6.5%, then HOEPA status should = 1.","If the loan is originated (action taken type = 1), secured by a first lien (lien status = 1), and the reported rate spread is greater than 6.5%, then the loan should be reported as a HOEPA loan (HOEPA status = 1). Please verify and update the file if needed.",Type of Action Taken; Lien Status; Rate Spread; HOEPA Status
LAR,Quality,Q045,"If action taken type = 1, lien status = 2, and rate spread > 8.5%, then HOEPA status should = 1.","If the loan is originated (action taken type = 1), secured by a subordinate lien (lien status = 2), and the reported rate spread is greater than 8.5%, then the loan should be reported as a HOEPA loan (HOEPA status = 1). Please verify and update the file if needed.",Type of Action Taken; Lien Status; Rate Spread; HOEPA Status
LAR,Quality,Q046,"If loan purpose = 1, HOEPA Status should not = 1",A home purchase loan (loan purpose = 1) should not be classified as a HOEPA loan (HOEPA status should =2). Please verify and update the file if needed.,Loan Purpose; HOEPA Status
LAR,Quality,Q051,"If applicant ethnicity, race and sex = 4, 7, and 4, respectively, and action taken type = 6; HOEPA status should not = 1.","If the reported loan is purchased by your institution (applicant ethnicity = 4,  applicant race = 7, applicant sex = 4, action taken type = 6), then the loan should not be a HOEPA loan (HOEPA should =2). Please verify and update the file if needed.",Type of Action Taken; Applicant Ethnicity; Applicant Race: 1; Applicant Sex; Type of Action Taken; HOEPA Status
LAR,Quality,Q052,"If property type = 3, HOEPA status should not = 1.","If the property is classified as multifamily (property type = 3), then the loan should not be a HOEPA loan (HOEPA status should = 2). Please verify and update your file if needed.",Property Type; HOEPA Status
LAR,Quality,Q064,"If purchaser type = 1 or 3, HOEPA status should not = 1.","If the loan was purchased by Fannie Mae or Freddie Mac (purchaser type = 1 or 3), then the loan should not be a HOEPA loan (HOEPA status should = 2). Please verify and update your file if needed.",Type of Purchaser; HOEPA Status
LAR,Quality,Q059,"If loan type = 2, 3, or 4, then property type should not = 3.","If the loan is FHA-insured, VA-guaranteed, or FSA/RHS-guaranteed (loan type = 2, 3, or 4), then the property should not be classified as multifamily (property type should not = 3). Please verify and update your file if needed.",Loan Type; Property Type
LAR,Quality,Q029,"If the reported state/county combination (when county is small and reported tract equals NA), or state/county/census tract combination is valid then the MSA/MD should not = NA.","There are two scenarios that trigger this edit: 1) The property is located in a county with a population of 30,000 or less. Therefore county and census tract are reported as ""NA"". However, based on the reported state and county combination, MSA/MD should not be reported as ""NA"". 2) The property is located in a county with a population greater than 30,000, and based on the reported state, county, and census tract, MSA/MD should not be reported as ""NA"". Please verify and update your file if needed.",Metropolitan Statistical Area / Metropolitan Division; State Code; County Code; Census Tract
LAR,Quality,Q049,"If action taken type = 7 or 8, then MSA/MD, state, county, census tract should equal NA.","If the reported loan is a preapproval request that was denied by your institution or a preapproval request that was approved but not accepted (action taken = 7 or 8), then the MSA/MD, state, county, census tract data fields should be reported as ""NA"". Please verify and update your file if needed. ",Metropolitan Statistical Area / Metropolitan Division; State Code; County Code; Census Tract; Type of Action Taken
LAR,Quality,Q595,"If action taken type = 1-5, 7, or 8, then MSA/MD must = a corresponding respondent, MSA/MD combination on respondent panel, or NA.","According to our records, these loans are located in an MSA/MD where your institution does not have a branch. Please update this information with the appropriate sources.",Metropolitan Statistical Area / Metropolitan Division; Type of Action Taken
LAR,Quality,Q030,"If action taken type = 1, 2, 3, 4, 5, or 6; and if the HMDA respondent is required to report MSA/MD, state, county, census tract, then MSA/MD, state, county, census tract should equal a valid combination and not NA.","If the reported loan is not a preapproval request denied by your institution or not a preapproval request that was approved but not accepted (action taken type = 1, 2, 3, 4, 5 or 6), and you are required to report MSA/MD, state, county, and census tract for this loan, then 1) MSA/MD, state, county, and census tract cannot be ""NA"", and 2) MSA/MD, state, county, and census tract must be a valid combination of information. Please verify and update your file if needed.",Metropolitan Statistical Area / Metropolitan Division; State Code; County Code; Census Tract; Type of Action Taken
Macro,Macro,Q015,"If property type = 3, then the total number of these loan applications should be < 10% of all loan applications or < 10% of the total dollar amount of all loan applications reported.","There are two scenarios that trigger this edit: 1) The total number of reported multifamily properties (property type = 3) is greater than 10% of the total number of reported lars, or 2) The total dollar amount of the reported multifamily properties is greater than 10% of the total dollar amount of all reported lars. Your file indicates a number outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.","Property Type; Total Line Entries; Total Dollar Amount (total dollar amount is calculated, and not a data field)"
Macro,Macro,Q031,"If property type = 3, and total number of all loan applications < 2,000, then the total number of multifamily applications should be < 200.","If your institution reported fewer than 2,000 lars in total during this reporting period, then total number of reported loans with property classified as multifamily (property type = 3) should be fewer than 200. Your file indicates a number outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Property Type; Total Line Entries
Macro,Macro,Q006,"If the total number of loan applications with loan purpose = 1 and action taken type = 1 is > 25, then the total number of these loan applications should be ≤ 95% of the total number of home purchase loan applications.","If the total number of reported originated home purchase loans (action taken type = 1 and loan purpose = 1) is greater than 25, then the number of these reported originated home purchase loans should be less than or equal to 95% of the total number of reported home purchase loans (loan purpose = 1). Your file indicates a percentage outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Type of Action Taken; Loan Purpose
Macro,Macro,Q047,"If preapproval = 1, and action taken type = 4, then the total number of these loans should be ≤ 10% of the total number of loan applications.","The total number of loans that requested preapprovals but the application was withdrawn by the applicant (preapproval = 1 and action taken type = 4) should be less than or equal to 10% of the total number of reported lars for this reporting period. Your file indicates a percentage outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Preapprovals; Type of Action Taken; Total Line Entries
Macro,Macro,Q048,"If preapproval = 1, and action taken type = 5, then the total number of these loans should be ≤ 5% of the total number of loan applications.","The total number of loans that requested preapprovals but the file was closed for incompleteness (preapproval = 1 and action taken type = 5) should be less than or equal to 5% of the total number of reported lars for this reporting period. Your file indicates a percentage outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Preapprovals; Type of Action Taken; Total Line Entries
Macro,Macro,Q007,"If action taken type = 2, then the total number of these loans should be ≤ 15% of the total number of loan applications.","The total number of applications that were approved but not accepted (action taken type = 2) should be less than or equal to 15% of the total number of reported lars for this reporting period. Your file indicates a percentage outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Type of Action Taken; Total Line Entries
Macro,Macro,Q008,"If action taken type = 4, then the total number of these loans should be ≤ 30% of the total number of loan applications.","The total number of applications that were withdrawn by the applicant (action taken type = 4) should be less than or equal to 30% of the total number of reported lars for this reporting period. Your file indicates a percentage outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Type of Action Taken; Total Line Entries
Macro,Macro,Q009,"If action taken type = 5, then the total number of these loans should be ≤ 15% of the total number of loan applications.","The total number of files that were closed for incompleteness (action taken type = 5) should be less than or equal to 15% of the total number of reported lars for this reporting period. Your file indicates a percentage outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Type of Action Taken; Total Line Entries
Macro,Macro,Q010,The number of loan applications that report action taken type = 1 should be ≥ 20% of the total number of loan applications where action taken type = 1-6.,"The total number of loans that were originated (action taken type = 1) should be greater than or equal to 20% of the total number of reported loans that were not classified as preapproval request denied by financial institution or preapproval request approved but not accepted (action taken type 1-6). Your file indicates a percentage outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Type of Action Taken
Macro,Macro,Q023,The number of loan applications that report MSA/MD = NA should be ≤ 30% of the total number of loan applications.,"The total number of loans that reported ""NA"" for the MSA/MD where the property is located should be less than or equal to 30% of the total number of reported lars for this reporting period. Your file indicates a percentage outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Metropolitan Statistical Area / Metropolitan Division; Total Line Entries
Macro,Macro,Q011,"If current or previous year’s total number of applications is ≥ 500, then the current year should be within (+ or -) 20% of the previous year’s total.","If the total number of reported loans for this reporting period or for last year were greater than or equal to 500 loans respectively, then the total number of reported loans for the current year should be between 80% and 120% of last year's total number of reported loans. Your file indicates a percentage outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Total Line Entries; Total Line Entries for the previous year
Macro,Macro,Q016,"The number of loan applications that report income < $10,000 should be ≤ 20% of total loan applications.","The total number of reported loans with income less than $10 thousand should be less than or equal to 20% of the total number of reported lars. Your file indicates a percentage outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Applicant Income; Total Line Entries
Macro,Macro,Q053,"If agency = 5, action taken type = 1 and HOEPA status = 1, then the total number of these loans should be ≤ 1% of the total number of originated loans.","If your institution is regulated by the National Credit Union Administration (NCUA) (agency code = 5), then the total number of loans that were originated (action taken type = 1) and classified as a HOEPA loan (HOEPA status = 1) should be less than or equal to 1% of the total number of reported originated loans (action taken type = 1). Your file indicates a percentage outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Agency Code; Type of Action Taken; HOEPA Status
Macro,Macro,Q054,"If agency = 5, action taken type = 6 and HOEPA status = 1, then the total number of these loans should be ≤ 1% of the total number of purchased loans.","If your institution is regulated by the National Credit Union Administration (NCUA) (agency code = 5), then the total number of loans that were purchased by your institution (action taken type = 6) and classified as a HOEPA loan (HOEPA status = 1) should be less than or equal to 1% of the total number of reported loans that were purchased by your institution (action taken type = 6). Your file indicates a percentage outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Agency Code; Type of Action Taken; HOEPA Status
Macro,Macro,Q062,"If action taken type =1, HOEPA status = 1, lien status = 1 and type of purchaser = 1, then the total number of these loans should be ≤ 1% of the total number of originated loans.","The total number of reported originated HOEPA loans (action taken type = 1 and HOEPA status = 1) that are secured by a first lien (lien status = 1) and purchased by Fannie Mae (type of purchaser = 1) should be less than or equal to 1% of the total number of reported originated loans (action taken type = 1). Your file indicates a percentage outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario. ",Type of Action Taken; HOEPA Status; Lien Status; Type of Purchaser
Macro,Macro,Q063,"If action taken type =1, HOEPA status = 1, lien status = 1 and type of purchaser = 3, then the total number of these loans should be ≤ 1% of the total number of originated loans.","The total number of reported originated HOEPA loans (action taken type = 1 and HOEPA status = 1) that are secured by a first lien (lien status = 1) and purchased by Freddie Mac (type of purchaser = 3) should be less than or equal to 1% of the total number of reported originated loans (action taken type = 1). Your file indicates a percentage outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario. ",Type of Action Taken; HOEPA Status; Lien Status; Type of Purchaser
Macro,Macro,Q065,"If HOEPA status = 1, then the total number of HOEPA loans should be < 200.","The total number of reported HOEPA loans (HOEPA status = 1) should be less than 200. Your file indicates a number outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",HOEPA Status
Macro,Macro,Q055,"If HOEPA status = 1, action taken = 1 and rate spread ≥ 5% and not = NA, then the total number of these loans should be ≤ 5% of the total number of originated loans.","The total number of reported originated HOEPA loans (HOEPA status = 1 and action taken = 1) with a rate spread greater than or equal to 5% should be less than or equal to 5% of the total number of reported originated loans (action taken =1). Your file indicates a number outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",HOEPA Status; Type of Action Taken; Rate Spread
Macro,Macro,Q061,"If property type = 1, lien status = 1, action taken type = 1 and rate spread > 5% and not = NA, then the total number of these loans should be ≤ 1% of the total number of originated loans.","The total number of reported originated loans for a one to four-family home (action taken type = 1 and property type = 1) that is secured by a first lien (lien status = 1) and with a rate spread greater than 5% should be less than or equal to 1% of the total number of reported originated loans (action taken =1). Your file indicates a number outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Property Type; Type of Action Taken; Lien Status; Rate Spread
Macro,Macro,Q056,"If the total number of conventional home purchase loan applications is ≥ 50, then the total number of denied conventional home purchase loans should be ≤ 70%.","If the total number of reported conventional home purchase loans (loan type = 1 and loan purpose = 1) is greater than or equal to 50, then the total number of denied conventional home purchase loans (action taken type = 3, loan type = 1, and loan purpose = 1) should be less than or equal to 70% of the total number of reported conventional home purchase loans (loan type = 1 and loan purpose =1). Your file indicates a number outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Loan Type; Loan Purpose; Type of Action Taken
Macro,Macro,Q057,"If the total number of loan applications is ≥ 50, then the total number of denied loan applications should be > zero.","If the total number of reported loans for this reported period is greater than or equal to 50, then the total number of denied loans (action taken = 3) should be greater than zero. Your file indicates a number outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Type of Action Taken; Total Line Entries
Macro,Macro,Q058,"If the total number of loan applications where preapproval = 1 is ≥ 1000, then the total number of preapproval requests denied (action taken = 7) should be > zero.","If the total number of reported loans where a preapproval was requested (preapproval = 1) is greater than or equal to 1000, then the total number of denied preapproval requests (action taken = 7) should be greater than zero.  Your file indicates a number outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Preapprovals; Type of Action Taken
Macro,Macro,Q070,"If action taken type = 1 or 6, purpose of loan = 1 or 3, property type = 1 or 2, loan type = 1; and if the percentage of these loans that are sold to Fannie Mae or Freddie Mac in the current year is less than the percentage of the same type of loans sold to Fannie Mae or Freddie Mac in the prior year, then the percentage difference between the two years should be less than 10%; or if the number of these loans for the current year is ≥ 10,000, then the percentage of these loans sold to Fannie Mae or Freddie Mac for the current year should be > 20%.","There are two scenarios that trigger this edit for reported loans that are conventional, home purchase or refinancing (loan type = 1 and loan purpose = 1 or 3), were originated or purchased by your institution (action taken type = 1 or 6), for properties classified as one to four-family or manufactured housing (property type = 1 or 2), and were sold to Fannie Mae or Freddie Mac (purchaser type = 1 or 3):  1) If the percentage of reported loans listed above that were sold to Fannie Mae or Freddie Mac for the current reporting period is less than the percentage of those same type of loans sold to Fannie Mae and Freddie Mac in the prior year, then the difference between the percentages for the two reporting periods should be less than 10%, or 2) If the total number of reported loans listed above is greater than or equal to 10,000, then the percentage of these loans should be greater than 20% of the total number of reported loans.   Your file indicates a number outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Type of Action Taken; Loan Type; Loan Purpose; Property Type; Type of Purchaser; Total Line Entries; Type of Action Taken for the previous year; Loan Type for the previous year; Loan Purpose for the previous year; Property Type for the previous year; Type of Purchaser for the previous year
Macro,Macro,Q071,"If action taken type = 1 or 6, purpose of loan = 1 or 3, property type = 1 or 2, loan type = 2; and if the percentage of these loans that are sold to Ginnie Mae in the current year is less than the percentage of the same type of loans sold to Ginnie Mae in the prior year, then the percentage difference between the two years should be less than 10%; or if the number of these loans for the current year is ≥ 2, 500, then the percentage of these loans sold to Ginnie Mae for the current year should be > 30%.","There are two scenarios that trigger this edit for reported loans that are FHA-insured, home purchase or refinancing (loan type = 2 and loan purpose = 1 or 3), were originated or purchased by your institution (action taken type = 1 or 6), properties classified as one to four-family or manufactured housing (property type = 1 or 2), and were sold to Ginnie Mae (purchaser type = 2):  1) If the percentage of reported loans listed above that were sold to Ginnie Mae for the current reporting period is less than the percentage of those same type of loans sold to Ginnie Mae in the prior year, then the difference between the percentages for the two reporting periods should be less than 10%, or 2) If the total number of reported loans listed above is greater than or equal to 2,500, then the percentage of these loans should be greater than 30% of the total number of reported loans.   Your file indicates a number outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Type of Action Taken; Loan Type; Loan Purpose; Property Type; Type of Purchaser; Total Line Entries; Type of Action Taken for the previous year; Loan Type for the previous year; Loan Purpose for the previous year; Property Type for the previous year; Type of Purchaser for the previous year
Macro,Macro,Q072,"If action taken type = 1 or 6, purpose of loan = 1 or 3, property type = 1 or 2, loan type = 3; and if the percentage of these loans that are sold to Ginnie Mae in the current year is less than the percentage of the same type of loans sold to Ginnie Mae in the prior year, then the percentage difference between the two years should be less than 10%; or if the number of these loans for the current year is ≥ 2,000, then the percentage of these loans sold to Ginnie Mae for the current year should be > 30%.","There are two scenarios that trigger this edit for reported loans that are VA-guaranteed, home purchase or refinancing (loan type = 3 and loan purpose = 1 or 3), were originated or purchased by your institution (action taken type = 1 or 6), properties classified as one to four-family or manufactured housing (property type = 1 or 2), and were sold to Ginnie Mae (purchaser type = 2):  1) If the percentage of reported loans listed above that were sold to Ginnie Mae for the current reporting period is less than the percentage of those same type of loans sold to Ginnie Mae in the prior year, then the difference between the percentages for the two reporting periods should be less than 10%, or 2) If the total number of reported loans listed above is greater than or equal to 2,000, then the percentage of these loans should be greater than 30% of the total number of reported loans.   Your file indicates a number outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Type of Action Taken; Loan Type; Loan Purpose; Property Type; Type of Purchaser; Total Line Entries; Type of Action Taken for the previous year; Loan Type for the previous year; Loan Purpose for the previous year; Property Type for the previous year; Type of Purchaser for the previous year
Macro,Macro,Q073,"If 250 or greater loans are reported with purpose of loan = 1, action taken type = 1 or 6, property type = 1 or 2, and loan type = 2 or 3, then of these loans, the percentage of loans sold should be > 20%.","This applies to originated or purchased loans (action taken type = 1 or 6), that are classified as home purchase (purpose of loan = 1), one to four-family or manufactured housing (property type = 1 or 2), and are either FHA-insured or VA-guaranteed (loan type = 2 or 3). If 250 or more of this type of loan is reported in your file, then more than 20% of this type of loan should have been sold in the same calendar year. Your file indicates a number outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Type of Action Taken; Loan Purpose; Property Type; Loan Type; Type of Purchaser
Macro,Macro,Q074,"If 250 or greater loans are reported with purpose of loan = 3, action taken type = 1 or 6, property type = 1 or 2, and loan type = 2 or 3, then of these loans, the percentage of loans sold should be > 20%.","This applies to originated or purchased loans (action taken type = 1 or 6), that are classified as refinance (purpose of loan = 3), one to four-family or manufactured housing (property type = 1 or 2), and are either FHA-insured or VA-guaranteed (loan type = 2 or 3). If 250 or more of this type of loan is reported in your file, then more than 20% of this type of loan should have been sold in the same calendar year. Your file indicates a number outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Type of Action Taken; Loan Purpose; Property Type; Loan Type; Type of Purchaser
Macro,Macro,Q075,"If 750 or greater loans are reported with purpose of loan = 1, action taken type = 1 or 6, property type = 1 or 2, then of these loans, the difference between the percentage of loans that are sold in the current year and the percentage of the same type of loans sold in the prior year should be less than (+ or -) 20%.","This applies to originated or purchased loans (action taken type = 1 or 6), that are classified as home purchase (purpose of loan = 1), one to four-family or manufactured housing (property type = 1 or 2). If 750 or more of this type of loan is reported in your file, then the difference between the percentage of these loans sold in the current year and in the previous year should be less than an absolute value of 20.  Your file indicates a number outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Type of Action Taken; Loan Purpose; Property Type; Type of Purchaser; Type of Purchaser for the previous year
Macro,Macro,Q076,"If 750 or greater loans are reported with purpose of loan = 3, action taken type = 1 or 6, property type = 1 or 2, then of these loans, the difference between the percentage of loans that are sold in the current year and the percentage of the same type of loans sold in the prior year should be less than (+ or -) 20%.","This applies to originated or purchased loans (action taken type = 1 or 6), that are classified as refinancing (purpose of loan = 3), one to four-family or manufactured housing (property type = 1 or 2). If 750 or more of this type of loan is reported in your file, then the difference between the percentage of these loans sold in the current year and in the previous year should be less than an absolute value of 20.  Your file indicates a number outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Type of Action Taken; Loan Purpose; Property Type; Type of Purchaser; Type of Purchaser for the previous year
Macro,Macro,Q080,"If action taken = 1, 2 or 3, property type = 1 or 2, and applicant ethnicity = 3 or 4, then the total number of these loans should be ≤ 50% of the total number of loans where action taken = 1-5.","This applies to originated loans, applications approved but not accepted, and application denied by your institution (action taken = 1, 2, or 3), for properties classified as one to four-family or manufactured housing (property type = 1 or 2), and the applicant's ethnicity is reported as information not provided by applicant in mail, Internet, or telephone application, or not applicable (applicant ethnicity = 3 or 4). The total number of loans that are classified as this type of loan should be less than or equal to 50% of the total number of reported loans that were originated, application approved but not accepted, application denied by your institution, application withdrawn by applicant, or file was closed for incompleteness (action taken 1=5). Your file indicates a number outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Type of Action Taken; Property Type; Applicant Ethnicity
Macro,Macro,Q081,"If action taken = 1, 2 or 3, property type = 1 or 2, and first applicant race field = 6 or 7, then the total number of these loans should be ≤ 50% of the total number of loans where action taken = 1-5.","This applies to originated loans, applications approved but not accepted, and application denied by your institution (action taken = 1, 2, or 3), for properties classified as one to four-family or manufactured housing (property type = 1 or 2), and the first applicant race is reported as information not provided by applicant in mail, Internet, or telephone application, or not applicable (applicant race: 1 = 6 or 7). The total number of loans that are classified as this type of loan should be less than or equal to 50% of the total number of reported loans that were originated, application approved but not accepted, application denied by your institution, application withdrawn by applicant, or file was closed for incompleteness (action taken 1=5). Your file indicates a number outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Type of Action Taken; Property Type; Applicant Race: 1
Macro,Macro,Q082,"If action taken = 1, 2 or 3, property type = 1 or 2, and applicant sex = 3 or 4, then the total number of these loans should be ≤ 50% of the total number of loans where action taken = 1-5.","This applies to originated loans, applications approved but not accepted, and application denied by your institution (action taken = 1, 2, or 3), for properties classified as one to four-family or manufactured housing (property type = 1 or 2), and the applicant sex is reported as information not provided by applicant in mail, Internet, or telephone application, or not applicable (applicant sex = 3 or 4). The total number of loans that are classified as this type of loan should be less than or equal to 50% of the total number of loans that were originated, application approved but not accepted, application denied by your institution, application withdrawn by applicant, or file was closed for incompleteness (action taken 1=5). Your file indicates a number outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Type of Action Taken; Property Type; Applicant Sex
Macro,Macro,Q083,"If action taken = 1, 2 or 3, property type = 1 or 2, and (applicant ethnicity = 3 or 4) and (first applicant race field = 6 or 7) and (applicant sex = 3 or 4), then the total number of these loans should be ≤ 20% of the total number of loans where action taken = 1-5.","This applies to originated loans, applications approved but not accepted, and application denied by your institution (action taken = 1, 2, or 3), for properties classified as one to four-family or manufactured housing (property type = 1 or 2), and the applicant ethnicity, first race, and sex are respectively reported as information not provided by applicant in mail, Internet, or telephone application, or not applicable (applicant ethnicity = 3 or 4, applicant race: 1 = 6 or 7, and applicant sex = 3 or 4). The total number of loans that are classified as this type of loan should be less than or equal to 20% of the total number of loans that were originated, application approved but not accepted, application denied by your institution, application withdrawn by applicant, or file was closed for incompleteness (action taken 1=5). Your file indicates a number outside of this range. Please verify and update your file if needed. If this information is correct, please provide an explanation for this scenario.",Type of Action Taken; Property Type; Applicant Ethnicity; Applicant Race: 1; Applicant Sex; 
