Term of Loan in Years,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
08/17/2009,5.47,5.39,5.25,5.25,5.00,5.00,5.58,5.58,5.91,5.91,5.91,5.91,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35,5.35
08/24/2009,5.63,5.25,5.13,5.13,4.82,4.82,5.40,5.40,5.73,5.73,5.73,5.73,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18
08/31/2009,5.81,5.37,5.19,5.19,4.92,4.92,5.48,5.48,5.78,5.78,5.78,5.78,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,4.69,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20
09/07/2009,5.74,5.24,5.07,5.07,4.84,4.84,5.42,5.42,5.75,5.75,5.75,5.75,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14
09/14/2009,5.76,5.23,5.07,5.07,4.72,4.72,5.35,5.35,5.72,5.72,5.72,5.72,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13
09/21/2009,5.52,5.13,4.98,4.98,4.72,4.72,5.31,5.31,5.67,5.67,5.67,5.67,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10,5.10
09/28/2009,5.64,5.19,5.02,5.02,4.72,4.72,5.30,5.30,5.64,5.64,5.64,5.64,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09
10/05/2009,5.43,5.06,4.96,4.96,4.67,4.67,5.21,5.21,5.53,5.53,5.53,5.53,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
10/12/2009,5.47,5.04,4.88,4.88,4.56,4.56,5.10,5.10,5.49,5.49,5.49,5.49,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93
10/19/2009,5.54,5.13,5.01,5.01,4.63,4.63,5.20,5.20,5.59,5.59,5.59,5.59,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98,4.98
10/26/2009,5.66,5.20,4.98,4.98,4.65,4.65,5.20,5.20,5.57,5.57,5.57,5.57,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06
11/02/2009,5.69,5.21,5.01,5.01,4.67,4.67,5.24,5.24,5.62,5.62,5.62,5.62,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09,5.09
11/09/2009,5.41,4.98,4.90,4.90,4.60,4.60,5.22,5.22,5.63,5.63,5.63,5.63,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04
11/16/2009,5.58,5.04,4.85,4.85,4.54,4.54,5.17,5.17,5.62,5.62,5.62,5.62,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97
11/23/2009,5.47,4.91,4.73,4.73,4.50,4.50,5.11,5.11,5.52,5.52,5.52,5.52,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89
11/30/2009,5.66,4.99,4.76,4.76,4.43,4.43,5.04,5.04,5.48,5.48,5.48,5.48,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84
12/07/2009,5.37,4.80,4.62,4.62,4.44,4.44,5.07,5.07,5.55,5.55,5.55,5.55,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77
12/14/2009,5.55,4.93,4.65,4.65,4.47,4.47,5.15,5.15,5.65,5.65,5.65,5.65,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87
12/21/2009,5.28,4.83,4.76,4.76,4.62,4.62,5.29,5.29,5.76,5.76,5.76,5.76,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00
12/28/2009,5.50,4.98,4.82,4.82,4.65,4.65,5.33,5.33,5.79,5.79,5.79,5.79,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11
01/04/2010,5.45,5.04,4.89,4.89,4.69,4.69,5.34,5.34,5.77,5.77,5.77,5.77,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,4.65,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20
01/11/2010,5.43,5.01,4.88,4.88,4.69,4.69,5.34,5.34,5.79,5.79,5.79,5.79,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15
01/18/2010,5.33,4.92,4.84,4.84,4.57,4.57,5.23,5.23,5.71,5.71,5.71,5.71,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12
01/25/2010,5.44,4.97,4.77,4.77,4.52,4.52,5.16,5.16,5.64,5.64,5.64,5.64,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05
02/01/2010,5.23,4.81,4.73,4.73,4.50,4.50,5.15,5.15,5.64,5.64,5.64,5.64,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03
02/08/2010,5.16,4.74,4.71,4.71,4.52,4.52,5.20,5.20,5.71,5.71,5.71,5.71,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07
02/15/2010,5.45,4.89,4.70,4.70,4.44,4.44,5.13,5.13,5.67,5.67,5.67,5.67,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03
02/22/2010,5.35,4.79,4.61,4.61,4.32,4.32,5.03,5.03,5.57,5.57,5.57,5.57,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99
03/01/2010,5.27,4.75,4.61,4.61,4.41,4.41,5.10,5.10,5.61,5.61,5.61,5.61,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11,5.11
03/08/2010,5.39,4.82,4.64,4.64,4.36,4.36,5.06,5.06,5.59,5.59,5.59,5.59,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03,5.03
03/15/2010,5.34,4.79,4.61,4.61,4.30,4.30,5.00,5.00,5.54,5.54,5.54,5.54,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.01
03/22/2010,5.24,4.75,4.59,4.59,4.34,4.34,5.00,5.00,5.50,5.50,5.50,5.50,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02,5.02
03/29/2010,5.32,4.88,4.70,4.70,4.39,4.39,5.00,5.00,5.50,5.50,5.50,5.50,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04
04/05/2010,5.17,4.73,4.61,4.61,4.35,4.35,5.01,5.01,5.52,5.52,5.52,5.52,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14,5.14
04/12/2010,5.08,4.76,4.73,4.73,4.50,4.50,5.14,5.14,5.65,5.65,5.65,5.65,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26,5.26
04/19/2010,5.07,4.69,4.63,4.63,4.33,4.33,4.95,4.95,5.47,5.47,5.47,5.47,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12
04/26/2010,5.16,4.74,4.64,4.64,4.28,4.28,4.90,4.90,5.43,5.43,5.43,5.43,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13,5.13
05/03/2010,5.19,4.77,4.65,4.65,4.25,4.25,4.87,4.87,5.38,5.38,5.38,5.38,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,4.49,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12,5.12
05/10/2010,5.19,4.67,4.58,4.58,4.26,4.26,4.87,4.87,5.37,5.37,5.37,5.37,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06
05/17/2010,5.14,4.60,4.45,4.45,4.20,4.20,4.85,4.85,5.37,5.37,5.37,5.37,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99,4.99
05/24/2010,5.12,4.56,4.37,4.37,4.16,4.16,4.79,4.79,5.29,5.29,5.29,5.29,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90
05/31/2010,5.07,4.57,4.46,4.46,4.26,4.26,4.81,4.81,5.29,5.29,5.29,5.29,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84
06/07/2010,5.26,4.63,4.45,4.45,4.23,4.23,4.81,4.81,5.29,5.29,5.29,5.29,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86
06/14/2010,5.03,4.50,4.42,4.42,4.21,4.21,4.79,4.79,5.28,5.28,5.28,5.28,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.27,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78
06/21/2010,4.94,4.45,4.37,4.37,4.18,4.18,4.76,4.76,5.25,5.25,5.25,5.25,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81,4.81
06/28/2010,5.08,4.46,4.30,4.30,4.13,4.13,4.71,4.71,5.19,5.19,5.19,5.19,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75
07/05/2010,5.11,4.42,4.22,4.22,4.08,4.08,4.65,4.65,5.14,5.14,5.14,5.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.14,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64
07/12/2010,5.06,4.39,4.18,4.18,4.04,4.04,4.61,4.61,5.10,5.10,5.10,5.10,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63
07/19/2010,5.05,4.43,4.25,4.25,4.14,4.14,4.72,4.72,5.24,5.24,5.24,5.24,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.16,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63
07/26/2010,5.01,4.39,4.16,4.16,4.04,4.04,4.64,4.64,5.18,5.18,5.18,5.18,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.13,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62
08/02/2010,4.95,4.32,4.11,4.11,4.05,4.05,4.65,4.65,5.18,5.18,5.18,5.18,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60,4.60
08/09/2010,4.86,4.19,3.96,3.96,3.88,3.88,4.53,4.53,5.13,5.13,5.13,5.13,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.55
08/16/2010,4.84,4.19,3.94,3.94,3.85,3.85,4.43,4.43,5.02,5.02,5.02,5.02,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50,4.50
08/23/2010,4.84,4.18,3.95,3.95,3.80,3.80,4.35,4.35,4.88,4.88,4.88,4.88,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,3.99,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48
08/30/2010,4.83,4.18,3.93,3.93,3.80,3.80,4.34,4.34,4.84,4.84,4.84,4.84,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,3.95,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42,4.42
09/06/2010,4.81,4.15,3.92,3.92,3.78,3.78,4.31,4.31,4.82,4.82,4.82,4.82,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38
09/13/2010,4.77,4.13,3.93,3.93,3.80,3.80,4.37,4.37,4.89,4.89,4.89,4.89,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41,4.41
09/20/2010,4.71,4.07,3.87,3.87,3.79,3.79,4.38,4.38,4.93,4.93,4.93,4.93,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43
09/27/2010,4.77,4.07,3.86,3.86,3.78,3.78,4.37,4.37,4.93,4.93,4.93,4.93,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43
10/04/2010,4.79,4.08,3.86,3.86,3.76,3.76,4.31,4.31,4.88,4.88,4.88,4.88,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,3.85,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39
10/11/2010,4.71,4.01,3.77,3.77,3.71,3.71,4.27,4.27,4.87,4.87,4.87,4.87,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34
10/18/2010,4.93,4.14,3.82,3.82,3.71,3.71,4.28,4.28,4.91,4.91,4.91,4.91,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26
10/25/2010,4.61,3.94,3.71,3.71,3.69,3.69,4.31,4.31,4.97,4.97,4.97,4.97,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,3.74,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28
11/01/2010,4.61,3.91,3.66,3.66,3.65,3.65,4.30,4.30,4.94,4.94,4.94,4.94,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30
11/08/2010,4.57,3.86,3.61,3.61,3.63,3.63,4.30,4.30,5.03,5.03,5.03,5.03,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31
11/15/2010,4.57,3.90,3.63,3.63,3.54,3.54,4.09,4.09,4.85,4.85,4.85,4.85,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24
11/22/2010,4.38,3.82,3.70,3.70,3.69,3.69,4.26,4.26,4.94,4.94,4.94,4.94,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,3.86,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47
