Edit #|Edit Details|Affected Data Fields
V646-2|Sex of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname must equal 1, 2, 3, or 4, and cannot be left blank.|Sex of Co-Applicant or Co-Borrower; Sex of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname
V647|If Sex of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname equals 1, then Sex of Co-Applicant or Co-Borrower must equal 1 or 2.|Sex of Co-Applicant or Co-Borrower; Sex of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname
V648-1|If Sex of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname equals 2, then Sex of Co-Applicant or Co-Borrower must equal 1, 2, 3 or 6.|Sex of Co-Applicant or Co-Borrower; Sex of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname
V648-2|If Sex of Co-Applicant or Co-Borrower equals 6, then Sex of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname must equal 2 or 3.|Sex of Co-Applicant or Co-Borrower; Sex of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname
V649|If Sex of Co-Applicant or Co-Borrower equals 4, then Sex of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname must equal 3.|Sex of Co-Applicant or Co-Borrower; Sex of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname
V650|If Sex of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname equals 4, then Sex of Co-Applicant or Co-Borrower must equal 5, and the reverse must be true.|Sex of Co-Applicant or Co-Borrower; Sex of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname
V651-1|Age of Applicant or Borrower must be a whole number greater than zero, and cannot be left blank.|Age of Applicant or Borrower; Ethnicity of Applicant or Borrower: 1; Race of Applicant or Borrower: 1; Sex of Applicant or Borrower
V651-2|If the Ethnicity of Applicant or Borrower: 1 equals 4; and Race of Applicant or Borrower: 1 equals 7; Sex of Applicant or Borrower equals 4; and Action Taken does not equal 6, indicating the applicant or borrower is a non-natural person, then Age of Applicant or Borrower must equal 8888|Age of Applicant or Borrower; Ethnicity of Applicant or Borrower: 1; Race of Applicant or Borrower: 1; Sex of Applicant or Borrower
V652-1|Age of Co-Applicant or Co-Borrower must be a whole number greater than zero, and cannot be left blank.|Age of Co-Applicant or Co-Borrower; Ethnicity of Co-Applicant or Co-Borrower: 1; Race of Co-Applicant or Co-Borrower: 1; Sex of Co-Applicant or Co-Borrower
V652-2|If the Ethnicity of Co-Applicant or Co-Borrower: 1 equals 4; and Race of Co-Applicant or Co-Borrower: 1 equals 7; and Sex of Co-Applicant or Co-Borrower: 1 equals 4; and Action Taken does not equal 6; indicating that the co-applicant or co-borrower is a non-natural person, then Age of Co-Applicant or Co-Borrower must equal 8888|Age of Co-Applicant or Co-Borrower; Ethnicity of Co-Applicant or Co-Borrower: 1; Race of Co-Applicant or Co-Borrower: 1; Sex of Co-Applicant or Co-Borrower
V654-1|Income must be either a positive or negative integer rounded to the nearest thousand or NA, and cannot be left blank.|Income; Multifamily Affordable Units
V654-2|If Multifamily Affordable Units is a number, then Income must be NA.|Income; Multifamily Affordable Units
V655-1|If Ethnicity of Applicant or Borrower: 1 equals 4; and Race of Applicant or Borrower: 1 equals 7; Sex of Applicant or Borrower: 1 equals 4; and Action Taken does not equal 6, indicating the applicant is a non-natural person, then Income must be NA|Income; Ethnicity of Applicant or Borrower: 1; Race of Applicant or Borrower: 1; Sex of Applicant or Borrower; Ethnicity of Co-Applicant or Co-Borrower: 1; Race of Co-Applicant or Co-Borrower: 1; Sex of Co-Applicant or Co-Borrower
V655-2|If Ethnicity of Co-Applicant or Co-Borrower: 1 equals 4; and Race of Co-Applicant or Co-Borrower: 1 equals 7; Sex of Co-Applicant or Co-Borrower: 1 equals 4; and Action Taken does not equal 6, indicating that the co-applicant or co-borrower is a non-natural person, then Income must be NA|Income; Ethnicity of Applicant or Borrower: 1; Race of Applicant or Borrower: 1; Sex of Applicant or Borrower; Ethnicity of Co-Applicant or Co-Borrower: 1; Race of Co-Applicant or Co-Borrower: 1; Sex of Co-Applicant or Co-Borrower
V656-1|Type of Purchaser must equal 0, 1, 2, 3, 4, 5, 6, 71, 72, 8 or 9, and cannot be left blank.|Type of Purchaser; Action Taken
V656-2|If Action Taken equals 2, 3, 4, 5, 7 or 8, then Type of Purchaser must equal 0.|Type of Purchaser; Action Taken
V657-1|Rate Spread must be a number, Exempt, or NA, and cannot be left blank.|Rate Spread; Action Taken; Reverse Mortgage
V657-2|If Action Taken equals 3, 4, 5, 6, or 7, then Rate Spread must be Exempt or NA.|Rate Spread; Action Taken; Reverse Mortgage
V657-3|If Reverse Mortgage equals 1, then Rate Spread must be Exempt or NA.|Rate Spread; Action Taken; Reverse Mortgage
V658-1|HOEPA Status must equal 1, 2, or 3, and cannot be left blank.|HOEPA Status; Action Taken
V658-2|If Action Taken equals 2, 3, 4, 5, 7, or 8, then HOEPA Status must be 3.|HOEPA Status; Action Taken
V659|Lien Status must equal 1 or 2, and cannot be left blank.|Lien Status
V660-1|Credit Score of Applicant or Borrower must be a number, and cannot be left blank.|Credit Score of Applicant or Borrower; Applicant or Borrower, Name and Version of Credit Scoring Model
V660-2|Applicant or Borrower, Name and Version of Credit Scoring Model must equal 1111, 1, 2, 3, 4, 5, 6, 7, 8, or 9.|Credit Score of Applicant or Borrower; Applicant or Borrower, Name and Version of Credit Scoring Model
V661|If Credit Score of Applicant or Borrower equals 8888 indicating not applicable, then Applicant or Borrower, Name and Version of Credit Scoring Model must equal 9, and the reverse must be true.|Credit Score of Applicant or Borrower; Applicant or Borrower, Name and Version of Credit Scoring Model
V662-1|If Applicant or Borrower, Name and Version of Credit Scoring Model equals 1111, 1, 2, 3, 4, 5, 6, 7, or 9, then Applicant or Borrower, Name and Version of Credit Scoring Model: Conditional Free Form Text Field for Code 8 must be left blank, and the reverse must be true.|Applicant or Borrower, Name and Version of Credit Scoring Model; Applicant or Borrower, Name and Version of Credit Scoring Model: Conditional Free Form Text Field for Code 8
V662-2|If Applicant or Borrower, Name and Version of Credit Scoring Model equals 8, then Applicant or Borrower, Name and Version of Credit Scoring Model: Conditional Free Form Text Field for Code 8 must not be blank, and the reverse must be true.|Applicant or Borrower, Name and Version of Credit Scoring Model; Applicant or Borrower, Name and Version of Credit Scoring Model: Conditional Free Form Text Field for Code 8
V663|If Action Taken equals 4, 5, or 6, then Credit Score of Applicant or Borrower must equal 8888 or Exempt; and Applicant or Borrower, Name and Version of Credit Scoring Model must equal 9 or Exempt; and Applicant or Borrower, Name and Version of Credit Scoring Model: Conditional Free Form Text Field for Code 8 must be left blank.|Action Taken; Credit Score of Applicant or Borrower; Applicant or Borrower, Name and Version of Credit Scoring Model; Applicant or Borrower, Name and Version of Credit Scoring Model: Conditional Free Form Text Field for Code 8
V664|If Action Taken equals 4, 5, or 6, then Credit Score of Co-Applicant or Co-Borrower must equal 8888 or Exempt; and Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model must equal 9 or Exempt; and Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model: Conditional Free Form Text Field for Code 8 must be left blank.|Action Taken; Credit Score of Co-Applicant or Co-Borrower; Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model; Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model: Conditional Free Form Text Field for Code 8
V665-1|Credit Score of Co-Applicant or Co-Borrower must be a number, and cannot be left blank.|Credit Score of Co-Applicant or Co-Borrower; Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model
V665-2|Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model must equal 1111, 1, 2, 3, 4, 5, 6, 7, 8, 9, or 10, and cannot be left blank.|Credit Score of Co-Applicant or Co-Borrower; Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model
V666-1|If Credit Score of Co-Applicant or Co-Borrower equals 8888 indicating not applicable, then Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model must equal 9, and the reverse must be true.|Credit Score of Co-Applicant or Co-Borrower; Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model
V666-2|If Credit Score of Co-Applicant or Co-Borrower equals 9999 indicating no co-applicant, then Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model must equal 10, and the reverse must be true.|Credit Score of Co-Applicant or Co-Borrower; Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model
V667-1|If Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model equals 1111, 1, 2, 3, 4, 5, 6, 7, 9, or 10, then Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model: Conditional Free Form Text Field for Code 8 must be left blank, and the reverse must be true.|Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model; Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model: Conditional Free Form Text Field for Code 8
V667-2|If Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model equals 8, then Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model: Conditional Free Form Text Field for Code 8 must not be left blank, and the reverse must be true.|Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model; Co-Applicant or Co-Borrower, Name and Version of Credit Scoring Model: Conditional Free Form Text Field for Code 8
V668-1|If Ethnicity of Applicant or Borrower: 1 equals 4; and Race of Applicant or Borrower: 1 equals 7; and Sex of Applicant or Borrower equals 4 indicating the applicant is a non-natural person then Credit Score of Applicant or Borrower must equal 8888, indicating not applicable, or Exempt.|Credit Score of Applicant or Borrower; Credit Score of Co-Applicant or Co-Borrower; Ethnicity of Applicant or Borrower: 1; Race of Applicant or Borrower: 1; Sex of Applicant or Borrower; Ethnicity of Co-Applicant or Co-Borrower: 1; Race of Co-Applicant or Co-Borrower: 1; Sex of Co-Applicant or Co-Borrower
V668-2|If Ethnicity of Co-Applicant or Co-Borrower: 1 equals 4; and Race of Co-Applicant or Co-Borrower: 1 equals 7; and Sex of Co-Applicant or Co-Borrower equals 4 indicating that the co-applicant is a non-natural person, then Credit Score of Co-Applicant or Co-Borrower must equal 8888, indicating not applicable, or Exempt.|Credit Score of Applicant or Borrower; Credit Score of Co-Applicant or Co-Borrower; Ethnicity of Applicant or Borrower: 1; Race of Applicant or Borrower: 1; Sex of Applicant or Borrower; Ethnicity of Co-Applicant or Co-Borrower: 1; Race of Co-Applicant or Co-Borrower: 1; Sex of Co-Applicant or Co-Borrower
V669-1|Reason for Denial: 1 must equal 1111, 1, 2, 3, 4, 5, 6, 7, 8, 9, or 10, and cannot be left blank.|Reason for Denial: 1; Reason for Denial: 2; Reason for Denial: 3; Reason for Denial: 4
V669-2|Reason for Denial: 2; Reason for Denial: 3; and Reason for Denial: 4 must equal 1, 2, 3, 4, 5, 6, 7, 8, 9, or be left blank.|Reason for Denial: 1; Reason for Denial: 2; Reason for Denial: 3; Reason for Denial: 4
V669-3|Each Reason for Denial code can only be reported once.|Reason for Denial: 1; Reason for Denial: 2; Reason for Denial: 3; Reason for Denial: 4
V669-4|If Reason for Denial: 1 equals 1111 or 10, then Reason for Denial: 2; Reason for Denial: 3; and Reason for Denial: 4 must all be left blank.|Reason for Denial: 1; Reason for Denial: 2; Reason for Denial: 3; Reason for Denial: 4
V670-1|If Action Taken equals 3 or 7, then the Reason for Denial: 1 must equal 1111, 1, 2, 3, 4, 5, 6, 7, 8, or 9.|Action Taken; Reason for Denial: 1
V670-2|If Reason for Denial: 1 equals 1, 2, 3, 4, 5, 6, 7, 8, or 9, then Action Taken must equal 3 or 7.|Action Taken; Reason for Denial: 1
V670-3|If Action Taken equals 1, 2, 4, 5, 6, or 8, then Reason for Denial: 1 must equal 1111 or 10.|Action Taken; Reason for Denial: 1
V670-4|If Reason for Denial: 1 equals 10, then Action Taken must equal 1, 2, 4, 5, 6, or 8.|Action Taken; Reason for Denial: 1
V671-1|Reason for Denial: 1; Reason for Denial: 2; Reason for Denial: 3; or Reason for Denial: 4 was reported Code 9: Other; however, the Reason for Denial: Conditional Free Form Text Field for Code 9 was left blank.|Reason for Denial: 1; Reason for Denial: 2; Reason for Denial: 3; Reason for Denial: 4; Reason for Denial: Conditional Free Form Text Field for Code 9
V671-2|The Reason for Denial: Conditional Free Form Text Field for Code 9 was reported, but Code 9 was not reported in Reason for Denial: 1; Reason for Denial: 2; Reason for Denial: 3; or Reason for Denial: 4.|Reason for Denial: 1; Reason for Denial: 2; Reason for Denial: 3; Reason for Denial: 4; Reason for Denial: Conditional Free Form Text Field for Code 9
V672-1|Total Loan Costs must be a number greater than or equal to 0, Exempt, or NA, and cannot be left blank.|Total Loan Costs; Total Points and Fees; Action Taken; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose
V672-2|If Total Points and Fees is a number greater than or equal to 0, then Total Loan Costs must be NA.|Total Loan Costs; Total Points and Fees; Action Taken; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose
V672-3|If Reverse Mortgage equals 1, then Total Loan Costs must be Exempt or NA.|Total Loan Costs; Total Points and Fees; Action Taken; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose
V672-4|If Open-End Line of Credit equals 1, then Total Loan Costs must be Exempt or NA.|Total Loan Costs; Total Points and Fees; Action Taken; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose
V672-5|If Business or Commercial Purpose equals 1, then Total Loan Costs must be Exempt or NA.|Total Loan Costs; Total Points and Fees; Action Taken; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose
V672-6|If Action Taken equals 2, 3, 4, 5, 7 or 8, then Total Loan Costs must be Exempt or NA.|Total Loan Costs; Total Points and Fees; Action Taken; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose
V673-1|Total Points and Fees must be a number greater than or equal to 0, Exempt, or NA, and cannot be left blank.|Total Points and Fees; Action Taken; Reverse Mortgage; Business or Commercial Purpose
V673-2|If Action Taken equals 2, 3, 4, 5, 6, 7 or 8 then Total Points and Fees must be Exempt or NA.|Total Points and Fees; Action Taken; Reverse Mortgage; Business or Commercial Purpose
V673-3|If Reverse Mortgage equals 1, then Total Points and Fees must be Exempt or NA.|Total Points and Fees; Action Taken; Reverse Mortgage; Business or Commercial Purpose
V673-4|If Business or Commercial Purpose equals 1, then Total Points and Fees must be Exempt or NA.|Total Points and Fees; Action Taken; Reverse Mortgage; Business or Commercial Purpose
V673-5|If Total Loan Costs is a number greater than or equal to 0, then Total Points and Fees must be NA.|Total Points and Fees; Action Taken; Reverse Mortgage; Business or Commercial Purpose
V674-1|Origination Charges must be a number greater than or equal to 0, Exempt, or NA, and cannot be left blank.|Origination Charges; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose; Action Taken
V674-2|If Reverse Mortgage equals 1, then Origination Charges must be Exempt or NA.|Origination Charges; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose; Action Taken
V674-3|If Open-End Line of Credit equals 1, then Origination Charges must be Exempt or NA.|Origination Charges; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose; Action Taken
V674-4|If Business or Commercial Purpose equals 1, then Origination Charges must be Exempt or NA.|Origination Charges; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose; Action Taken
V674-5|If Action Taken equals 2, 3, 4, 5, 7 or 8, then Origination Charges must be Exempt or NA.|Origination Charges; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose; Action Taken
V675-1|Discount Points must be a number greater than 0, blank, Exempt, or NA.|Discount Points; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose; Action Taken
V675-2|If Reverse Mortgage equals 1, then Discount Points must be Exempt or NA.|Discount Points; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose; Action Taken
V675-3|If Open-End Line of Credit equals 1, then Discount Points must be Exempt or NA.|Discount Points; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose; Action Taken
V675-4|If Business or Commercial Purpose equals 1, then Discount Points must be Exempt or NA.|Discount Points; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose; Action Taken
V675-5|If Action Taken equals 2, 3, 4, 5, 7 or 8, then Discount Points must be Exempt or NA.|Discount Points; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose; Action Taken
V676-1|Lender Credits must be a number greater than 0, blank, Exempt, or NA.|Lender Credits; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose; Action Taken
V676-2|If Reverse Mortgage equals 1, then Lender Credits must be Exempt or NA.|Lender Credits; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose; Action Taken
V676-3|If Open-End Line of Credit equals 1, then Lender Credits must be Exempt or NA.|Lender Credits; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose; Action Taken
V676-4|If Business or Commercial Purpose equals 1, then Lender Credits must be Exempt or NA. |Lender Credits; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose; Action Taken
V676-5|If Action Taken equals 2, 3, 4, 5, 7 or 8, then Lender Credits must be Exempt or NA.|Lender Credits; Reverse Mortgage; Open-End Line of Credit; Business or Commercial Purpose; Action Taken
V677-1|Interest Rate must be a number greater than or equal to 0, Exempt or NA, and cannot be left blank.|Interest Rate; Action Taken
V677-2|If Action Taken equals 3, 4, 5, or 7; then Interest Rate must be Exempt or NA.|Interest Rate; Action Taken
V678-1|Prepayment Penalty Term must be a whole number greater than 0, Exempt, or NA, and cannot be left blank.|Prepayment Penalty Term; Action Taken; Reverse Mortgage; Business or Commercial Purpose; Loan Term
V678-2|If Action Taken equals 6, then Prepayment Penalty Term must be Exempt or NA.|Prepayment Penalty Term; Action Taken; Reverse Mortgage; Business or Commercial Purpose; Loan Term
V678-3|If Reverse Mortgage equals 1, then Prepayment Penalty Term must be Exempt or NA.|Prepayment Penalty Term; Action Taken; Reverse Mortgage; Business or Commercial Purpose; Loan Term
V678-4|If Business or Commercial Purpose equals 1, then Prepayment Penalty Term must be Exempt or NA.|Prepayment Penalty Term; Action Taken; Reverse Mortgage; Business or Commercial Purpose; Loan Term
V678-5|If both Prepayment Penalty Term and Loan Term are numbers, then Prepayment Penalty Term must be less than or equal to Loan Term.|Prepayment Penalty Term; Action Taken; Reverse Mortgage; Business or Commercial Purpose; Loan Term
V679-1|Debt-to-Income Ratio must be either a number, Exempt or NA, and cannot be left blank.|Debt-to-Income Ratio; Multifamily Affordable Units; Action Taken
V679-2|If Action Taken equals 4, 5 or 6, then Debt-to-Income Ratio must be Exempt or NA.|Debt-to-Income Ratio; Multifamily Affordable Units; Action Taken
V679-3|If Multifamily Affordable Units is a number, then Debt-to-Income Ratio must be Exempt or NA.|Debt-to-Income Ratio; Multifamily Affordable Units; Action Taken
V680-1|If Ethnicity of Applicant or Borrower: 1 equals 4; and Race of Applicant or Borrower: 1 equals 7; and Sex of Applicant or Borrower equals 4 indicating the applicant or borrower is a non-natural person; and the Ethnicity of Co-Applicant or Co-Borrower: 1 equals 5; and Race of Co-Applicant or Co-Borrower: 1 equals 8; and Sex of Co-Applicant or Co-Borrower equals 5 indicating that there is no co-applicant or co-borrower, then Debt-to-Income Ratio must be Exempt or NA.|Debt-to-Income Ratio; Ethnicity of Applicant or Borrower: 1; Race of Applicant or Borrower: 1; Sex of Applicant or Borrower; Ethnicity of Co-Applicant or Co-Borrower: 1; Race of Co-Applicant or Co-Borrower: 1; Sex of Co-Applicant or Co-Borrower
V680-2|If Ethnicity of Applicant or Borrower: 1 equals 4; and Race of Applicant or Borrower: 1 equals 7; and Sex of Applicant or Borrower equals 4 indicating the applicant or borrower is a non-natural person; and the Ethnicity of Co-Applicant or Co-Borrower: 1 equals 4; and Race of Co-Applicant or Co-Borrower: 1 equals 7; and Sex of Co-Applicant or Co-Borrower equals 4 indicating that the co-applicant or co-borrower is also a non-natural person, then Debt-to-Income Ratio must be Exempt or NA.|Debt-to-Income Ratio; Ethnicity of Applicant or Borrower: 1; Race of Applicant or Borrower: 1; Sex of Applicant or Borrower; Ethnicity of Co-Applicant or Co-Borrower: 1; Race of Co-Applicant or Co-Borrower: 1; Sex of Co-Applicant or Co-Borrower
V681-1|Combined Loan-to-Value Ratio must be either a number greater than 0, Exempt or NA, and cannot be left blank.|Combined Loan-to-Value Ratio; Action Taken
V681-2|If Action Taken equals 4, 5, or 6, then Combined Loan-to-Value ratio must be Exempt or NA.|Combined Loan-to-Value Ratio; Action Taken
V682-1|Loan Term must be either a whole number greater than zero, Exempt, or NA, and cannot be left blank.|Loan Term; Reverse Mortgage
V682-2|If Reverse Mortgage equals 1, then Loan Term must be Exempt or NA.|Loan Term; Reverse Mortgage
V683|Introductory Rate Period must be either a whole number greater than zero, Exempt, or NA, and cannot be left blank.|Introductory Rate Period
V684|Balloon Payment must equal 1111, 1 or 2, and cannot be left blank.|Balloon Payment
V685|Interest Only Payments must equal 1111, 1 or 2, and cannot be left blank.|Interest-Only Payments
V686|Negative Amortization must equal 1111, 1 or 2, and cannot be left blank.|Negative Amortization
V687|Other Non-amortizing Features must equal 1111, 1 or 2, and cannot be left blank.|Other Non-amortizing Features
V688-1|Property Value must be either a number greater than 0, Exempt, or NA, and cannot be left blank.|Property Value; Action Taken
V688-2|If Action Taken equals 4 or 5, then Property Value must be Exempt or NA.|Property Value; Action Taken
V689-1|Manufactured Home Secured Property Type must equal 1111, 1, 2 or 3, and cannot be left blank.|Manufactured Home Secured Property Type; Multifamily Affordable Units; Construction Method
V689-2|If Multifamily Affordable Units is a number, then Manufactured Home Secured Property Type must equal 1111 or 3.|Manufactured Home Secured Property Type; Multifamily Affordable Units; Construction Method
V689-3|If Construction Method equals 1, then Manufactured Home Secured Property Type must equal 1111 or 3.|Manufactured Home Secured Property Type; Multifamily Affordable Units; Construction Method
V690-1|Manufactured Home Land Property Interest must equal 1111, 1, 2, 3, 4, or 5, and cannot be left blank.|Manufactured Home Land Property Interest; Multifamily Affordable Units; Construction Method
V690-2|If Multifamily Affordable Units is a number, then Manufactured Home Land Property Interest must equal 1111 or 5.|Manufactured Home Land Property Interest; Multifamily Affordable Units; Construction Method
V690-3|If Construction Method equals 1, then Manufactured Home Land Property Interest must equal 1111 or 5.|Manufactured Home Land Property Interest; Multifamily Affordable Units; Construction Method
V691|Total Units must be a whole number greater than 0, and cannot be left blank.|Total Units
V692-1|Multifamily Affordable Units must be either a whole number, Exempt, or NA, and cannot be left blank.|Multifamily Affordable Units; Total Units
V692-2|If Total Units is less than 5, then Multifamily Affordable Units must be Exempt or NA.|Multifamily Affordable Units; Total Units
V692-3|If Total Units is greater than or equal to 5, then Multifamily Affordable Units must be less than or equal to Total Units, Exempt or NA.|Multifamily Affordable Units; Total Units
V693-1|Submission of Application must equal 1111, 1, 2 or 3, and cannot be left blank.|Submission of Application; Action Taken
V693-2|If Action Taken equals 6, then Submission of Application must equal 1111 or 3.|Submission of Application; Action Taken
V693-3|If Submission of Application equals 3, then Action Taken must equal 6.|Submission of Application; Action Taken
V694-1|Initially Payable to Your Institution must equal 1111, 1, 2 or 3, and cannot be left blank.|Initially Payable to Your Institution; Action Taken
V694-2|If Action Taken equals 6, then Initially Payable to Your Institution must equal 1111 or 3.|Initially Payable to Your Institution; Action Taken
V694-3|If Action Taken equals 1, then Initially Payable to Your Institution must equal 1111, 1 or 2.|Initially Payable to Your Institution; Action Taken
V695|NMLSR Identifier cannot be left blank.|NMLSR ID
V696-1|Automated Underwriting System: 1 must equal 1111, 1, 2, 3, 4, 5, or 6, and cannot be left blank. Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; and Automated Underwriting System: 5 must equal 1, 2, 3, 4, 5, or be left blank.|Automated Underwriting System: 1; Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; Automated Underwriting System: 5; Automated Underwriting System Result: 1; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; Automated Underwriting System Result: 5
V696-2|Automated Underwriting System Result: 1 must equal 1111, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, or 24 and cannot be left blank. Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; and Automated Underwriting System Result: 5 must equal 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24 or be left blank.|Automated Underwriting System: 1; Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; Automated Underwriting System: 5; Automated Underwriting System Result: 1; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; Automated Underwriting System Result: 5
V696-3|The number of reported Automated Underwriting Systems must equal the number of reported Automated Underwriting System Results.|Automated Underwriting System: 1; Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; Automated Underwriting System: 5; Automated Underwriting System Result: 1; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; Automated Underwriting System Result: 5
V699|If Automated Underwriting System: 1; Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; or Automated Underwriting System: 5 equals 5, then the corresponding Automated Underwriting System Result: 1; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; or Automated Underwriting System Result: 5 must equal 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23 or 24.|Automated Underwriting System: 1; Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; Automated Underwriting System: 5; Automated Underwriting System Result: 1; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; Automated Underwriting System Result: 5
V700-1|If Automated Underwriting System: 1 equals 6, then the corresponding Automated Underwriting System Result: 1 must equal 17; and the Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; Automated Underwriting System: 5; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; and Automated Underwriting System Result: 5 must all be left blank.|Automated Underwriting System: 1; Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; Automated Underwriting System: 5; Automated Underwriting System Result: 1; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; Automated Underwriting System Result: 5
V700-2|If Automated Underwriting System Result: 1 equals 17, then the corresponding Automated Underwriting System: 1 must equal 6; and the Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; Automated Underwriting System: 5; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; and Automated Underwriting System Result: 5 must all be left blank.|Automated Underwriting System: 1; Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; Automated Underwriting System: 5; Automated Underwriting System Result: 1; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; Automated Underwriting System Result: 5
V701|If Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; or Automated Underwriting System: 5 was left blank, then the corresponding reported Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; or Automated Underwriting System Result: 5 must be left blank.|Automated Underwriting System: 2; Automated Underwriting System: 3; Automated Underwriting System: 4; Automated Underwriting System: 5; Automated Underwriting System Result: 2; Automated Underwriting System Result: 3; Automated Underwriting System Result: 4; Automated Underwriting System Result: 5
